#::#!!I,TimeStamp::TimeStamp!!D,Markers::Markers,R3_DensMeanChannel0::R3_Fluo-4,R3_DensMeanChannel1::R3_F0,R3_Ratio::R3_Ratio values,R3_DensMeanChannel0BGCorr::R3_Fluo-4(-BG),R3_DensMeanChannel1BGCorr::R3_F0(-BG),R3_RatioBGCorr::R3_Ratio values (- BG),R2_DensMeanChannel0::R2_Fluo-4,R2_DensMeanChannel1::R2_F0,R2_Ratio::R2_Ratio values,R2_DensMeanChannel0BGCorr::R2_Fluo-4(-BG),R2_DensMeanChannel1BGCorr::R2_F0(-BG),R2_RatioBGCorr::R2_Ratio values (- BG),R1_DensMeanChannel0::R1_Fluo-4,R1_DensMeanChannel1::R1_F0,R1_Ratio::R1_Ratio values,R1_DensMeanChannel0BGCorr::R1_Fluo-4(-BG),R1_DensMeanChannel1BGCorr::R1_F0(-BG),R1_RatioBGCorr::R1_Ratio values (- BG)
,,,,,,,,,,,,,,,,,,,,
57,,,3017.046143,3090.330811,0.976285815,875.9384766,951.2999878,0.92078048,2666.084473,2732.387207,0.975734472,524.9768066,593.3565674,0.884757757,2297.962158,2351.641602,0.977173686,156.8545685,212.610733,0.737754703
58,,,2999.199951,3090.330811,0.970511019,853.6615601,951.2999878,0.897363126,2656,2732.387207,0.972043753,510.4615479,593.3565674,0.860294759,2298.3396,2351.641602,0.977334201,152.8011627,212.610733,0.71868974
59,,,3252.430664,3090.330811,1.052453876,1111.384644,951.2999878,1.168279886,2853.408447,2732.387207,1.044291377,712.3623047,593.3565674,1.200563669,2439.018799,2351.641602,1.037155867,297.9727173,212.610733,1.401494145
60,,,3484.300049,3090.330811,1.127484441,1341.407715,951.2999878,1.410078526,3009.295654,2732.387207,1.101343036,866.4034424,593.3565674,1.460173368,2411.39624,2351.641602,1.025409818,268.5039063,212.610733,1.262889743
61,,,3509.876953,3090.330811,1.135760903,1372.953857,951.2999878,1.44323957,3085.408447,2732.387207,1.12919879,948.4853516,593.3565674,1.598508239,2363.094238,2351.641602,1.004870176,226.1712646,212.610733,1.063781023
62,,,3502.538574,3090.330811,1.133386254,1361.430786,951.2999878,1.431126595,3121.01416,2732.387207,1.142229795,979.9063721,593.3565674,1.651463032,2344.830078,2351.641602,0.997103572,203.7225037,212.610733,0.958194733
63,,,3484.930664,3090.330811,1.127688646,1347.761597,951.2999878,1.416757584,3142.309814,2732.387207,1.15002358,1005.140625,593.3565674,1.693990946,2321.13208,2351.641602,0.987026334,183.9628448,212.610733,0.865256608
64,,,3434.253906,3090.330811,1.111290097,1295.730713,951.2999878,1.362063289,3110.366211,2732.387207,1.138332844,971.8431396,593.3565674,1.637873769,2310.188721,2351.641602,0.98237282,171.6656036,212.610733,0.807417333
65,,,3324.85376,3090.330811,1.075889349,1184.792358,951.2999878,1.24544549,3030.591553,2732.387207,1.10913682,890.5300293,593.3565674,1.500834584,2314.415039,2351.641602,0.98417002,174.3535614,212.610733,0.820059955
66,,,3232.446045,3090.330811,1.045987129,1102.046143,951.2999878,1.158463359,2943.661865,2732.387207,1.077322364,813.2619629,593.3565674,1.370612621,2311.320801,2351.641602,0.982854187,180.9207611,212.610733,0.850948334
67,,,3173.392334,3090.330811,1.02687788,1036.161499,951.2999878,1.089205861,2867.098633,2732.387207,1.049301624,729.8677979,593.3565674,1.23006618,2294.565918,2351.641602,0.975729525,157.3352661,212.610733,0.740015626
68,,,3131.630859,3090.330811,1.013364315,997.0461426,951.2999878,1.048088074,2801.464844,2732.387207,1.025280952,666.880188,593.3565674,1.123911381,2292.679199,2351.641602,0.974927187,158.094635,212.610733,0.743587196
69,,,3097.661621,3090.330811,1.002372146,959.5076904,951.2999878,1.008627892,2753.239502,2732.387207,1.007631421,615.0855713,593.3565674,1.036620498,2287.094238,2351.641602,0.972552299,148.9404907,212.610733,0.700531363
